Image_ID,IoU,SIM,NSS,Score_HoloLens,Score_PlacePulse2
126,0.3051,0.5608,0.7629,4.3,4.0
127,0.0567,0.3638,-0.1274,5.9,6.8
128,0.0,0.1729,-0.3236,2.6,4.7
129,0.4898,0.6739,1.2368,8.1,5.0
130,0.0916,0.3143,-0.1466,4.1,1.9
131,0.1903,0.4958,-0.0198,5.0,2.3
132,0.0575,0.341,-0.1305,4.7,4.2
133,0.0396,0.3571,-0.6246,3.9,3.5
134,0.2835,0.4679,0.4786,7.3,5.8
135,0.2229,0.5027,0.8876,6.0,5.2
136,0.2168,0.4004,0.5765,4.2,4.6
137,0.0802,0.375,-0.0251,4.4,4.3
138,0.2916,0.4995,0.681,4.6,1.7
139,0.3392,0.595,0.8808,3.4,4.0
140,0.1706,0.3488,0.1365,6.2,5.2
141,0.0938,0.2463,-0.4365,3.1,4.4
142,0.1149,0.3271,-0.2073,3.9,2.5
143,0.16,0.3742,0.3958,4.9,3.6
144,0.0955,0.3251,-0.3725,4.7,1.7
145,0.1391,0.4014,-0.0243,5.7,4.1
146,0.0015,0.2913,-0.6329,4.2,2.7
147,0.3018,0.4832,0.4111,4.4,4.9
148,0.3349,0.5457,0.8321,7.3,3.3
149,0.0439,0.3242,-0.0847,4.2,3.3
