Image_ID,IoU,SIM,NSS
0,0.14964573662350356,0.402871637927781,0.10042764123477887
1,0.16909353529044346,0.44949744626554494,0.6149000512754822
2,0.1650651195116792,0.3498786736492362,-0.16393038707495217
3,0.3130088375780782,0.5900007222030881,1.2348496593524272
4,0.18040755281361,0.4584733836789229,0.06230994027227991
5,0.08341820650856006,0.44907741551698177,0.06202950293245233
6,0.23206071757129715,0.5519141298043444,0.7078873308880048
7,0.14831884166138,0.41966535039965536,0.3061713227923478
8,0.21333355439864707,0.4015168119281966,0.1611407725169778
9,0.08623423058760035,0.41696075862645476,-0.10845965875931445
10,0.07105773440920748,0.3118471734724706,-0.3755625220425971
11,0.05433554637324543,0.2542279576590247,-0.3827239434222616
12,0.12037420712077264,0.4834441724138041,1.1466333770525252
13,0.07228376148951214,0.2568051522531872,-0.28312249492708863
14,0.20786646378014478,0.45575045485324106,-0.08254782283229677
15,0.03237646386746644,0.2503649759631641,-0.5796141194582832
16,0.23675848921062084,0.5232372232320797,0.5900271446111568
17,0.3109060257629463,0.5105215700426324,0.4766638503165768
18,0.19665726482695534,0.41894724474052125,0.2577883232574993
19,0.08748155105326715,0.29751574437299366,-0.2385066794044144
20,0.10074362378049566,0.3009484776695853,-0.46037878034712465
21,0.17221142949651935,0.455744910820682,0.717870496571506
22,0.31103694432855883,0.4702394683700064,0.679851681598673
23,0.1573708640504381,0.3874391231327787,0.2666693676065114
24,0.14278167020968818,0.4846457638780236,0.5164130547012225
25,0.11617732437588123,0.3432094132116573,0.2674095466617613
26,0.21126128292690746,0.35561819784996374,-0.058642190088210325
27,0.14407665719522245,0.35483658115022165,0.10473466811560604
28,0.22651133251299965,0.44931519017381916,0.2383234526832258
29,0.01764845657010779,0.17497387893405109,-0.4788979417077463
30,0.310588949195968,0.5467240239190517,0.864454994009488
31,0.27872812744841996,0.4813334996467002,0.6739965923686552
32,0.21021782745772427,0.38271395806335556,-0.05310144315580861
33,0.21061380037298305,0.4882371042785244,0.7027169967434115
34,0.09436703584613552,0.35650602532349945,-0.2889365830508263
35,0.22593523075334687,0.41098824412412177,0.13806139502611767
36,0.016422213864861476,0.21311749924575446,-0.33869335021130936
37,0.2670387031064335,0.45296493402171006,0.08133349553209841
38,0.15786989231450066,0.43206483528684725,0.36125717961666226
39,0.442130001606942,0.6072016995271878,1.1053146838309507
40,0.10083942789206327,0.2738112318340518,-0.1587289405065377
41,0.09440129703721137,0.3645414924600031,0.5651003283084992
42,0.14161509814353318,0.3371206440363808,0.14984144192536794
43,0.35612375980539535,0.551394416537623,0.5780030985138306
44,0.101267724668983,0.3273064555555785,-0.0971945660972907
45,0.11527010579533752,0.3224398336274934,-0.1043104751403707
46,0.25105590539087697,0.48525791094677573,0.8034368551944164
47,0.18329114628243998,0.42166707813475707,0.036897028888935285
48,0.15096444406789233,0.454323354326,0.029602522462039132
49,0.030039371992417244,0.2500751719456018,-0.3997507686628611
50,0.40624773106803164,0.5858542117206782,1.1117994009718215
51,0.023394676565832082,0.24509029810584626,-0.5666852393656316
52,0.3363102637165095,0.5668835064910696,1.094665511980093
53,0.1621219030247758,0.36799444295183625,0.3518675104121815
54,0.07822494261667942,0.3499379173501235,-0.042514587742930904
55,0.058926425627062955,0.1730096350933111,-0.5335587479129603
56,0.2646875,0.587336950563634,1.1475235711803955
57,0.42232691275568013,0.6351584143378947,1.8074442559014308
58,0.2553826264233504,0.43423353259657094,0.000990010820949792
59,0.14370474046126697,0.31161646420167227,0.3680226912205449
60,0.22194894410991434,0.38462650961541434,0.2533481665796944
61,0.35999639688330404,0.6350154757117665,1.1576400262729623
62,0.3123246908461182,0.5642331288500275,1.1915970850543591
63,0.2887442713107241,0.5851931769914402,1.153879695289333
64,0.19162899414363505,0.39350667552640456,-0.005997198825182132
65,0.15877043181263722,0.33591926542365325,0.4576438640517522
66,0.16041864890580398,0.37303635725451434,0.3012123710200683
67,0.1354555940023068,0.410919223660823,-0.14385507323159352
68,0.1184012951058139,0.3282699688406886,-0.3132619704484174
69,0.16646013204672422,0.47013124877565327,0.9907338225200049
70,0.20080370438365666,0.37349758937734656,0.21029058558974356
71,0.009835449381891079,0.30193468197308304,-1.2904095870288361
72,0.15291071708771378,0.2695177719760162,0.044516905978799544
73,0.18945805849185351,0.470338058893423,0.2569505391797443
74,0.25895340903126474,0.460119682564662,0.27192686980237535
75,0.19853396506286092,0.40823103255471715,-0.10898939930591613
76,0.18823637561476353,0.49031308283337216,0.5418192491304011
77,0.1852378760617599,0.5112687735270904,0.18959545948149953
78,0.16806354766074555,0.2965044798545953,-0.02471129424158626
79,0.22315331697206292,0.4646111932598582,0.3920788498480396
80,0.17113927014134792,0.4861491951075945,0.6838486616128304
81,0.35608879227457046,0.5203813175488133,0.9353994737778832
82,0.2720812650442835,0.4709476002179449,0.43267325656484695
83,0.033813267379206785,0.3434979214588366,-0.4063630619870743
