Image_ID,IoU,SIM,NSS,Score_HoloLens,Score_PlacePulse2,Otsu_GradCAM
92,0.0707,0.2378,-0.62,5.8,4.5,0.3831836159830527
93,0.4094,0.591,0.6072,4.2,4.7,0.2749054947197492
94,0.1672,0.4377,0.3092,6.0,3.0,0.3715823413912652
95,0.1849,0.4163,-0.0192,5.7,4.3,0.38318375306827507
96,0.1909,0.375,0.4979,3.7,2.0,0.41025479806087606
97,0.2433,0.4875,0.7657,3.2,2.9,0.35998129371327514
98,0.0171,0.1821,-0.5246,6.0,5.0,0.31357462597187885
99,0.2636,0.4506,-0.1025,5.1,3.8,0.37159549519627316
100,0.1635,0.4645,0.4352,2.9,1.7,0.35611900497371163
101,0.0994,0.4899,0.8225,4.4,4.3,0.4411932709767728
102,0.2638,0.5146,0.6788,5.1,4.9,0.35611594306547867
103,0.3535,0.5536,0.8547,4.5,4.3,0.3445170944151645
104,0.2008,0.3924,0.0314,5.8,3.7,0.3058398935232412
105,0.1499,0.3605,-0.0039,5.3,4.5,0.35611456805739616
106,0.3745,0.5764,0.9606,6.0,4.7,0.31744170626323814
107,0.094,0.2989,0.0421,5.7,3.6,0.305840050339399
108,0.1266,0.2627,-0.2162,3.4,3.9,0.38318687575149857
109,0.2223,0.4798,-0.1347,2.8,4.6,0.3445133972324135
110,0.1409,0.3907,0.0008,4.9,4.0,0.3367799685084427
111,0.2054,0.4291,0.2428,2.6,3.2,0.35224705854807215
112,0.1933,0.5184,0.9112,4.5,2.1,0.40252000815252853
113,0.2217,0.4419,0.6975,6.2,2.9,0.31357466746049023
114,0.2873,0.4228,0.3914,3.4,4.3,0.3445192753690927
115,0.1247,0.3989,-0.0113,6.7,3.2,0.2710363412995165
116,0.5056,0.6176,1.3808,4.8,5.4,0.2942405801466565
117,0.1189,0.2271,-0.1319,3.2,4.38,0.39091954432667436
118,0.2044,0.5025,0.3251,4.2,3.3,0.4798641654964728
119,0.0649,0.4023,-0.0646,8.4,6.2,0.41025425519512027
120,0.3262,0.5299,0.809,6.6,7.2,0.3947893740298016
121,0.1866,0.3706,0.3529,5.3,2.0,0.3445133910261504
122,0.1217,0.2789,0.0894,4.7,4.2,0.3793170106049494
123,0.0638,0.2941,-0.4319,6.1,3.7,0.2362310376590078
124,0.0443,0.2623,-0.4645,5.7,4.5,0.2671757738877042
125,0.0141,0.1927,-0.5724,4.5,4.1,0.41798859158645973
126,0.3057,0.5608,0.7787,4.3,4.0,0.4489347495567446
127,0.0565,0.3638,-0.2348,5.9,6.8,0.3290435322974945
128,0.0,0.1728,-0.4081,2.6,4.7,0.4179885874973621
129,0.4897,0.674,1.2861,8.1,5.0,0.3213136040572381
130,0.0916,0.3143,-0.0928,4.1,1.9,0.42185859665989067
131,0.1904,0.4958,0.0053,5.0,2.3,0.4025226196378578
132,0.0575,0.341,-0.3971,4.7,4.2,0.38318564413053724
133,0.0396,0.3571,-0.8564,3.9,3.5,0.46053278340876513
134,0.2837,0.4679,0.4423,7.3,5.8,0.4102541416980001
135,0.2229,0.5027,1.1069,6.0,5.2,0.33677778551287657
136,0.217,0.4004,0.6851,4.2,4.6,0.36385147931602296
137,0.0802,0.375,-0.2496,4.4,4.3,0.3870580440551278
138,0.2917,0.4995,0.7091,4.6,1.7,0.2981055906262794
139,0.3398,0.595,1.0001,3.4,4.0,0.3715848423742021
140,0.1707,0.3487,0.0901,6.2,5.2,0.329043475113465
141,0.0937,0.2463,-0.5053,3.1,4.4,0.3522463231444115
142,0.1146,0.3271,-0.3141,3.9,2.5,0.36385196423764266
143,0.16,0.3742,0.4199,4.9,3.6,0.34451482347301843
144,0.0954,0.3251,-0.4372,4.7,1.7,0.38318411388485374
145,0.1388,0.4014,-0.1587,5.7,4.1,0.3251777439401508
146,0.0015,0.2913,-0.7902,4.2,2.7,0.3754520259943872
147,0.3018,0.4832,0.2582,4.4,4.9,0.3638497368345981
148,0.3349,0.5457,0.8114,7.3,3.3,0.34451368326244536
149,0.0439,0.3243,-0.185,4.2,3.3,0.4141234090820791
